Id_aluno,Selecionado,Sexo,OrientacaoSexual,Idade,Raça-cor,Deficiência
8119,Não,F,Bissexual,18,Branca,Não possuo
1963,Não,M,Heterossexual,23,Parda,Não possuo
12510,Sim,F,Heterossexual,19,Branca,Não possuo
8438,Sim,F,Outro,22,Branca,Não possuo
7236,Não,M,Bissexual,18,Branca,Não possuo
641,Sim,M,Bissexual,27,Preta,Não possuo
5130,Sim,M,Heterossexual,23,Parda,Não possuo
5696,Sim,F,Heterossexual,20,Branca,Não possuo
13292,Não,M,Heterossexual,22,Branca,Não possuo
12248,Sim,F,Bissexual,20,Branca,Não possuo
2634,Não,F,Heterossexual,23,Parda,Não possuo
2817,Sim,F,Bissexual,22,Parda,Não possuo
10943,Sim,M,Heterossexual,20,Branca,TEA – Transtorno Espectro do Autismo
9644,Sim,M,Bissexual,19,Parda,Não possuo
13419,Sim,M,Heterossexual,24,Parda,Não possuo
11202,Sim,F,Bissexual,21,Parda,Não possuo
1470,Não,F,Heterossexual,22,Parda,Não possuo
1115,Sim,M,Heterossexual,25,Parda,Não possuo
1433,Sim,M,Heterossexual,23,Não informada,Não possuo
3358,Não,M,Heterossexual,21,Parda,Não possuo
3740,Não,M,Pansexual,23,Branca,Não possuo
1034,Sim,F,Heterossexual,24,Parda,Não possuo
6533,Não,F,Prefiro não responder,21,Parda,Deficiência Visual
137,Sim,M,Heterossexual,36,Preta,Não possuo
1655,Sim,F,Prefiro não responder,26,Parda,Não possuo
6684,Sim,M,Heterossexual,34,Parda,Não possuo
9483,Sim,F,Heterossexual,19,Branca,Não possuo
8801,Não,M,Bissexual,18,Branca,Não possuo
4926,Sim,F,Heterossexual,25,Branca,Não possuo
7605,Sim,F,Heterossexual,22,Parda,Não possuo
8282,Sim,M,Heterossexual,18,Branca,Não possuo
10082,Sim,F,Heterossexual,20,Parda,Não possuo
12818,Sim,M,Heterossexual,18,Parda,Não possuo
12060,Sim,M,Heterossexual,18,Branca,Não possuo
3676,Sim,M,Homossexual,22,Branca,Não possuo
7177,Sim,F,Heterossexual,21,Preta,Não possuo
1416,Não,M,Heterossexual,24,Amarela,Não possuo
6256,Não,F,Bissexual,21,Branca,Não possuo
3725,Não,F,Heterossexual,23,Branca,Não possuo
4420,Sim,F,Heterossexual,24,Parda,Não possuo
10088,Sim,F,Bissexual,19,Preta,Não possuo
2818,Não,F,Heterossexual,18,Branca,Não possuo
7315,Sim,F,Heterossexual,21,Não informada,Não possuo
3255,Não,M,Heterossexual,20,Branca,Não possuo
6092,Sim,F,Heterossexual,20,Branca,Não possuo
1946,Sim,F,Heterossexual,23,Parda,Não possuo
13546,Sim,F,Heterossexual,20,Preta,Não possuo
12559,Sim,F,Heterossexual,19,Preta,Não possuo
468,Não,F,Bissexual,23,Parda,Não possuo
8920,Não,F,Heterossexual,21,Branca,Não possuo
7657,Sim,M,Heterossexual,26,Preta,Não possuo
11997,Sim,M,Bissexual,18,Branca,Não possuo
3418,Sim,M,Bissexual,23,Branca,Não possuo
13484,Sim,M,Heterossexual,24,Não informada,Não possuo
8428,Sim,M,Homossexual,22,Branca,Não possuo
6754,Não,M,Heterossexual,24,Branca,Não possuo
13461,Sim,F,Heterossexual,19,Parda,Não possuo
3510,Não,M,Heterossexual,20,Branca,Não possuo
11247,Sim,F,Bissexual,18,Preta,Não possuo
715,Não,F,Heterossexual,21,Parda,Não possuo
3654,Não,F,Bissexual,18,Branca,Não possuo
10874,Sim,M,Pansexual,19,Preta,Não possuo
15814,Sim,F,Heterossexual,21,Branca,Não possuo
1770,Não,M,Heterossexual,23,Branca,Não possuo
3357,Sim,F,Heterossexual,22,Preta,Não possuo
